measure,mean,std dev,min,median,max
Area (km2),460.657,858.125,25.685,184.898,8937.429
Avg of the avg neighborhood degree,2.886,0.109,2.626,2.875,3.228
Avg of the avg weighted neighborhood degree,0.032,0.018,0.021,0.03,0.321
Avg circuity,1.076,0.019,1.023,1.074,1.14
Avg clustering coefficient,0.042,0.009,0.015,0.042,0.071
Avg weighted clustering coefficient,0.002,0.001,<0.001,0.001,0.006
Intersection count,12582,26054,751,4593,307848
Avg degree centrality,0.001,0.001,<0.001,0.001,0.007
Edge density (km/km2),13.455,2.137,7.961,13.352,21.233
Avg edge length (m),158.588,17.653,117.341,157.332,223.08
Total edge length (km),6353,12625,427,2393,1.42E+08
Proportion of dead-ends,0.213,0.055,0.077,0.207,0.416
Proportion of 3-way intersections,0.593,0.046,0.444,0.591,0.778
Proportion of 4-way intersections,0.187,0.063,0.054,0.178,0.422
Intersection density (per km2),26.469,6.256,12.469,26.029,49.423
Average node degree,5.153,0.302,4.307,5.143,6.056
m,40890,83678,2516,14955,981646
n,16032,32585,874,5830,373309
Node density (per km2),33.628,7.641,17.675,33.071,61.655
Max PageRank value,0.001,0.001,<0.001,0.001,0.003
Min PageRank value,<0.001,<0.001,<0.001,<0.001,<0.001
Self-loop proportion,0.008,0.008,<0.001,0.006,0.071
Street density (km/km2),7.262,1.221,4.217,7.171,11.797
Average street segment length (m),161.331,17.765,119.573,160.288,225.92
Total street length (km),3480,7026,222,1269,79046
Street segment count,22011,45725,1281,7868,533757
Average streets per node,2.764,0.162,2.223,2.77,3.217
