urban area core city,land area km2,avg circuity,avg clustering coefficient,dead-end ratio,3-way ratio,4-way ratio,intersect density/km2,street density km/km2,avg street length (m),avg streets/node
New York,8937,1.06,0.04,0.18,0.62,0.2,34.44,8.84,148,2.86
Atlanta,6850,1.1,0.04,0.32,0.58,0.09,18.39,6.16,186,2.45
Chicago,6325,1.07,0.04,0.17,0.57,0.25,27.05,7.77,163,2.92
Philadelphia,5132,1.08,0.05,0.17,0.63,0.2,26.65,7.3,159,2.87
Boston,4852,1.09,0.05,0.2,0.68,0.11,24.23,6.44,154,2.71
Dallas,4612,1.07,0.05,0.15,0.61,0.23,34.16,9.16,156,2.95
Los Angeles,4497,1.06,0.03,0.21,0.56,0.22,39.45,10.59,151,2.82
Houston,4303,1.08,0.04,0.2,0.57,0.22,33.49,8.62,145,2.83
Detroit,3461,1.07,0.04,0.15,0.63,0.22,31.1,8.56,159,2.93
Washington,3424,1.09,0.04,0.26,0.56,0.17,31.22,8.26,146,2.66
Miami,3204,1.1,0.05,0.17,0.59,0.23,40.54,10.61,149,2.89
Phoenix,2968,1.09,0.05,0.2,0.62,0.17,35.31,9.1,150,2.77
Minneapolis,2647,1.08,0.05,0.19,0.57,0.23,29.54,8.68,167,2.84
Seattle,2617,1.07,0.03,0.3,0.54,0.16,31.57,8.2,143,2.57
Tampa,2479,1.1,0.05,0.2,0.58,0.21,31.35,8.46,153,2.83
St. Louis,2392,1.1,0.04,0.22,0.62,0.15,29.68,8.16,154,2.73
Pittsburgh,2345,1.09,0.04,0.23,0.6,0.16,23.57,6.71,165,2.72
San Juan,2245,1.11,0.02,0.36,0.56,0.08,26.57,6.43,131,2.36
Cincinnati,2040,1.07,0.03,0.31,0.54,0.14,17.96,6.1,186,2.51
Cleveland,2004,1.07,0.04,0.19,0.66,0.14,19.13,6.51,198,2.76
Charlotte,1920,1.08,0.04,0.3,0.57,0.11,21,6.43,170,2.51
San Diego,1897,1.08,0.03,0.28,0.54,0.17,28.89,8.32,159,2.62
Baltimore,1857,1.09,0.04,0.23,0.59,0.17,27.72,7.56,152,2.72
Indianapolis,1828,1.08,0.05,0.23,0.59,0.17,27.62,7.63,157,2.7
Kansas City,1756,1.06,0.04,0.21,0.58,0.2,32.09,8.57,152,2.79
Denver,1729,1.07,0.05,0.2,0.57,0.22,40.6,9.84,138,2.84
Orlando,1548,1.11,0.06,0.2,0.61,0.18,26.3,7.44,163,2.79
San Antonio,1547,1.07,0.05,0.17,0.6,0.21,28.33,7.91,162,2.87
Nashville,1460,1.08,0.03,0.27,0.59,0.14,19.08,6.1,181,2.6
Milwaukee,1413,1.06,0.06,0.14,0.55,0.3,28.27,7.81,157,3.03
